variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-virtual-atom,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,block,false,false,false,false,true,true
no-conflict-key,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,admit-parallel,false,true,false,false,true,false
no-cas,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,block,false,false,false,false,true,true
no-fallback-lock,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,block,false,false,false,false,true,true
no-cid,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,block,false,false,false,false,true,true
no-shared-surface,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,admit-parallel,false,true,false,false,true,false
no-rw-dependency,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,block,false,false,false,false,true,true
no-virtual-atom,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,block,false,false,false,false,true,true
no-conflict-key,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,admit-parallel,false,true,false,false,true,false
no-cas,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,block,false,false,false,false,true,true
no-fallback-lock,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer1,block,block,false,false,false,false,true,true
no-cid,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,block,false,false,false,false,true,true
no-shared-surface,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,admit-parallel,false,true,false,false,true,false
no-rw-dependency,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,block,false,false,false,false,true,true
no-virtual-atom,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,block,false,false,false,false,true,true
no-conflict-key,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,admit-parallel,false,true,false,false,true,false
no-cas,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,block,false,false,false,false,true,true
no-fallback-lock,registry-shared-surface-blocked,agr-benchmark,shared-surface,layer2Adr,block,block,false,false,false,false,true,true
no-cid,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-shared-surface,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-rw-dependency,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-virtual-atom,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-conflict-key,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-cas,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
